Name,IC Number,Gender,Date,Time,State
Eduardo Burnley,437-51-4517,Female,4/12/2021,8:46 PM,Kelantan
Harry Larkin,371-42-5630,Male,1/20/2021,4:47 AM,Sabah
Liam Carson,058-48-0274,Female,1/18/2021,2:08 PM,Sarawak
Erick Evans,762-24-5668,Female,2/15/2021,3:02 AM,Johor
Rufus Farrell,430-14-3455,Male,7/24/2021,5:14 PM,Terengganu
George Cunningham,418-58-6141,Male,6/2/2021,5:06 AM,Penang
Javier King,315-57-0337,Male,12/25/2021,1:29 AM,Pahang
Bryon Anderson,441-66-0441,Male,5/9/2021,8:56 AM,Selangor
Alexander Flack,253-30-1215,Male,7/14/2021,9:52 AM,Sarawak
Noah Coll,545-41-8064,Male,11/7/2021,4:23 PM,Kedah
Maxwell Tate,487-50-2380,Female,10/13/2021,6:47 PM,Kelantan
Maxwell Wood,006-30-5664,Female,2/24/2021,6:58 PM,Negeri Sembilan
Phillip Wise,420-56-4885,Female,8/10/2021,3:13 AM,Malacca
Abdul Ianson,565-17-5487,Male,8/3/2021,2:45 PM,Perlis
Joseph Salt,744-63-5566,Male,11/29/2021,9:20 AM,Kedah
Luke Brooks,720-43-8044,Male,8/29/2021,2:29 AM,Terengganu
Alexander Wigley,046-50-6213,Male,2/20/2021,12:15 PM,Kedah
Benny Redwood,242-71-1137,Female,12/2/2021,7:47 AM,Selangor
Denis Vince,024-54-5052,Male,4/23/2021,9:45 AM,Selangor
William Lambert,581-62-3314,Male,7/6/2021,4:13 PM,Penang
Percy Stewart,505-24-8780,Female,8/19/2021,6:52 AM,Terengganu
Julius Chappell,777-52-4564,Male,12/24/2021,1:27 PM,Penang
Michael Wilson,307-82-6033,Female,5/6/2021,6:43 PM,Pahang
Brad Brooks,425-83-5363,Female,10/18/2021,9:39 PM,Kelantan
Oliver Page ,185-46-0676,Male,12/20/2021,5:00 AM,Negeri Sembilan
Ron Collingwood,874-22-4480,Male,9/14/2021,12:24 AM,Kedah
Benny Umney,687-70-4865,Female,7/16/2021,2:10 AM,Pahang
Johnny Underhill,532-50-5415,Female,9/26/2021,4:26 PM,Penang
Michael Donovan,301-64-0282,Male,11/10/2021,12:13 PM,Penang
Russel Ebbs,087-76-0136,Female,8/5/2021,2:51 AM,Johor
Marvin Squire,387-77-1311,Male,2/18/2021,8:54 AM,Negeri Sembilan
Barney Garner,482-43-7143,Female,5/3/2021,9:55 PM,Johor
Alexander Moss,414-68-8168,Female,7/17/2021,1:23 PM,Selangor
Barry Rose,767-65-5138,Female,3/2/2021,6:46 PM,Negeri Sembilan
Tom Oliver,347-23-7824,Female,5/29/2021,3:53 PM,Selangor
Matt Mills,883-73-8175,Female,7/22/2021,12:30 AM,Kelantan
Maxwell Dwyer,446-57-2317,Male,8/5/2021,9:28 AM,Perak
Erick Freeburn,827-34-1153,Female,7/2/2021,2:07 PM,Kedah
Kurt Appleton,608-35-0550,Female,10/24/2021,8:17 PM,Perak
Maxwell John,470-12-8073,Female,5/17/2021,8:00 PM,Pahang
Michael Webster,316-35-8267,Male,6/30/2021,8:12 PM,Negeri Sembilan
Ryan Veale,653-36-3802,Female,11/22/2021,9:41 AM,Perlis
Erick Niles,427-35-8007,Female,2/11/2021,5:03 AM,Sabah
Nathan Walter,475-87-1444,Female,2/21/2021,12:56 PM,Malacca
Erick Dann,467-61-3015,Female,4/21/2021,6:27 AM,Malacca
Michael Pearce,278-15-4260,Male,3/8/2021,6:16 PM,Kedah
Chris Holt,787-32-1824,Male,9/21/2021,6:27 PM,Penang
Abdul John,401-76-8241,Male,1/1/2021,3:49 AM,Perak
Nathan Bentley,544-22-7107,Female,10/11/2021,4:31 PM,Kedah
Rick Sloan,206-11-7865,Female,8/28/2021,3:29 PM,Kedah
Henry Hogg,301-33-0032,Female,1/10/2021,4:08 PM,Negeri Sembilan
Mark Vince,171-26-3300,Female,2/24/2021,11:49 AM,Sabah
Rocco Oldfield,255-54-5083,Female,2/7/2021,2:01 AM,Perlis
Matthew Jones,247-21-3422,Female,4/11/2021,11:41 AM,Kedah
Nicholas Allen,560-62-6637,Female,1/25/2021,5:23 PM,Kedah
Clint Stewart,027-20-2052,Male,11/20/2021,7:27 PM,Pahang
Joseph Walton,401-31-7062,Female,7/8/2021,5:26 AM,Malacca
Boris Slater,461-56-3288,Male,9/4/2021,2:54 PM,Malacca
Kieth Chapman,833-56-0350,Female,1/31/2021,12:44 AM,Perak
Danny Pond,347-05-0254,Male,2/7/2021,6:01 PM,Kedah
Tom Edwards,875-67-5751,Female,11/28/2021,12:34 PM,Terengganu
Percy Walsh,418-21-4816,Male,2/16/2021,5:17 AM,Kedah
Nathan Baker,311-47-8323,Male,5/3/2021,2:27 PM,Kedah
Carter Shepherd,467-45-1122,Female,8/18/2021,6:49 PM,Kelantan
Caleb Sawyer,287-81-0057,Female,4/3/2021,9:54 AM,Sarawak
Alan Robe,136-03-2675,Female,7/24/2021,10:34 PM,Johor
Tony Snell,313-23-2438,Male,10/31/2021,1:49 AM,Sarawak
Jacob Kidd,176-01-6632,Female,8/14/2021,7:47 AM,Sarawak
Hank Long,626-04-0286,Male,5/25/2021,3:13 PM,Sarawak
Enoch Exton,521-15-3360,Male,8/29/2021,10:56 PM,Selangor
Chris King,512-34-4755,Female,7/30/2021,11:53 AM,Negeri Sembilan
Manuel Murphy,676-54-6662,Female,10/2/2021,10:50 PM,Penang
Ryan Wright,480-78-3640,Male,2/26/2021,11:45 AM,Perak
William Walker,247-10-1640,Female,8/16/2021,3:46 PM,Terengganu
Gil Torres,255-50-0840,Male,3/21/2021,5:39 AM,Johor
Ronald Sawyer,884-32-5378,Female,5/4/2021,5:27 AM,Perlis
Kurt Benson,873-67-1331,Female,3/17/2021,1:18 AM,Selangor
Nick Burnley,157-54-0501,Female,2/21/2021,2:35 AM,Perlis
Roger Hogg,771-83-7211,Male,7/21/2021,12:09 PM,Malacca
Danny Jarvis,860-73-1386,Male,1/4/2021,5:40 PM,Pahang
Domenic Vollans,075-75-1853,Male,5/24/2021,1:01 AM,Sarawak
Manuel Boden,464-80-5474,Female,11/21/2021,10:57 AM,Selangor
Tyson Vince,225-01-2665,Male,7/19/2021,1:55 AM,Johor
Caleb Shaw,874-05-0150,Male,8/28/2021,9:54 PM,Sabah
Julian Huggins,703-77-2730,Male,5/17/2021,2:56 AM,Perak
Caleb Niles,588-06-3510,Male,5/6/2021,3:16 AM,Pahang
Luke Ralph,072-43-7078,Female,1/4/2021,10:39 AM,Kedah
Hank Holt,060-07-1686,Female,7/9/2021,1:34 PM,Malacca
Logan Flett,013-56-8565,Female,11/6/2021,5:24 AM,Selangor
John Broomfield,254-00-5870,Male,5/3/2021,4:29 PM,Terengganu
David Page ,006-70-5831,Female,11/21/2021,7:30 PM,Malacca
Martin Cavanagh,404-57-0458,Male,5/13/2021,6:11 PM,Kelantan
Gabriel Giles,864-24-2078,Male,1/19/2021,3:15 AM,Perak
Jack Wise,244-17-4002,Male,3/10/2021,1:18 AM,Sarawak
Bob Haines,872-61-6358,Male,6/26/2021,9:10 PM,Sabah
Noah Gordon,607-70-8608,Female,10/21/2021,4:26 AM,Sabah
Mason Wheeler,366-05-8011,Male,1/2/2021,10:48 AM,Sarawak
Julius Bryant,886-65-3466,Male,12/30/2021,3:50 AM,Pahang
Ron Strong,717-21-0865,Female,12/29/2021,12:18 AM,Kedah
Benny Bradshaw,360-33-8328,Male,9/28/2021,8:25 PM,Pahang
Caleb Walker,030-26-8614,Male,6/18/2021,6:51 PM,Penang
Owen Gaynor,572-81-1717,Male,4/11/2021,12:06 AM,Negeri Sembilan
Benjamin Silva,332-81-7305,Male,3/10/2021,5:18 PM,Malacca
Liam Simpson,561-08-0076,Male,1/11/2021,10:03 PM,Terengganu
Russel Mcguire,200-10-7627,Male,5/12/2021,2:48 AM,Kelantan
Mark Stevenson,741-71-2272,Female,5/4/2021,2:53 AM,Pahang
Jacob Ryan,876-21-3572,Male,8/8/2021,9:18 PM,Kedah
Chris Rixon,460-22-4188,Female,7/27/2021,11:33 AM,Kelantan
Martin Simpson,066-21-7015,Female,7/25/2021,2:55 PM,Pahang
Nick Sheldon,250-20-6736,Female,10/28/2021,6:04 AM,Kelantan
Bart Ring,220-06-3575,Male,11/6/2021,4:01 PM,Kedah
Mark Thompson,716-04-8137,Male,4/8/2021,12:11 AM,Pahang
Sebastian Varley,168-65-7750,Female,8/2/2021,6:00 AM,Negeri Sembilan
Tyson Gaynor,635-68-6767,Male,10/31/2021,5:20 PM,Selangor
Leroy Ellis,766-68-4261,Male,9/27/2021,9:55 AM,Penang
Barney Underhill,126-68-6645,Female,6/4/2021,8:03 PM,Johor
Benny Morris,550-18-2133,Male,1/15/2021,9:57 PM,Penang
Michael Little,482-54-4547,Male,10/25/2021,3:28 PM,Penang
Benny Seymour,273-07-2180,Female,7/11/2021,5:33 PM,Malacca
Aiden Eyres,462-58-0724,Male,4/8/2021,9:37 PM,Kelantan
Lucas Nelson,752-42-4078,Male,8/3/2021,3:22 AM,Kedah
Tyson Vernon,502-05-7478,Male,9/12/2021,9:07 PM,Sabah
Julian Penn,546-87-4862,Male,11/23/2021,12:27 AM,Johor
Rufus Rodgers,858-87-0822,Female,9/11/2021,1:08 PM,Perak
Rick Gregory,607-15-4585,Male,12/14/2021,6:54 PM,Pahang
Ronald Randall,851-24-1042,Female,4/8/2021,2:50 AM,Pahang
John Denton,516-48-3471,Male,11/23/2021,1:50 PM,Kelantan
Martin Wills,306-23-2460,Male,11/26/2021,10:45 AM,Kedah
Clint Newman,013-23-5140,Male,3/25/2021,1:09 AM,Sarawak
Gil Flack,118-73-2810,Female,7/17/2021,7:01 AM,Kelantan
Mark Jenkins,036-02-1235,Female,9/1/2021,8:24 AM,Selangor
Leroy White,856-40-0261,Female,5/25/2021,7:45 AM,Selangor
Logan Alexander,467-61-2685,Male,5/31/2021,10:34 PM,Sabah
Kieth Newman,432-66-7305,Male,2/14/2021,6:49 PM,Kelantan
Benny Graham,458-60-8721,Male,1/21/2021,1:58 PM,Pahang
Jacob Ballard,882-32-5816,Male,5/25/2021,6:55 AM,Selangor
Clint Warden,410-04-4517,Male,4/3/2021,3:21 PM,Selangor
Ramon Jordan,445-12-0520,Female,8/14/2021,5:17 AM,Negeri Sembilan
Mark Bishop,881-28-3055,Male,6/29/2021,9:53 AM,Sabah
Ramon Holmes,745-27-0840,Male,3/14/2021,11:54 AM,Pahang
Ryan Haines,481-24-4073,Female,9/7/2021,11:54 AM,Penang
Henry Allen,482-73-3088,Female,11/10/2021,11:58 AM,Sabah
Liam Davies,644-31-4100,Male,3/16/2021,7:28 PM,Penang
Ronald Preston,347-87-7708,Female,11/24/2021,5:28 PM,Negeri Sembilan
Daniel Reyes,875-85-2564,Male,6/3/2021,3:27 PM,Malacca
Nicholas Harris,022-20-1300,Female,2/1/2021,3:57 AM,Pahang
Ethan Hill,364-36-4400,Male,5/6/2021,8:37 AM,Sabah
Alan Irving,423-66-8244,Female,3/5/2021,6:56 PM,Kedah
Noah Asher,076-41-4173,Female,4/21/2021,3:33 AM,Terengganu
Alan Abbey,481-41-2746,Female,7/3/2021,1:16 PM,Sarawak
Henry Graham,137-18-6263,Male,1/22/2021,1:02 PM,Negeri Sembilan
Jacob Nanton,647-50-3842,Female,3/25/2021,6:15 AM,Perak
Rick Broomfield,284-52-0402,Male,2/2/2021,1:33 AM,Kelantan
Leroy Lyon,077-44-1326,Female,10/14/2021,8:57 AM,Sabah
Chris Malone,081-44-8526,Female,3/9/2021,2:08 PM,Terengganu
